model_number,samsung_source_url,source_type,identifier_found,evidence_summary,confusion_identifier_found,classification,notes
RF23BB8900**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF23CB99008M**,https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Product Page (CA),HAF-QIN + DA97-17376B,CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Canada product page only
RF23DB9600**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23DB9700**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23DB9750**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23DB9900**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23M8070**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23M8090**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23M8570**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23M8590**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23M8960**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23R6201**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23R6301**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF24BB6200**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF24BB6600**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF24BB6900**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF24R7201**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF25C5151**,https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Product Page (CA),HAF-QIN + DA97-17376B,CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Canada product page only
RF25C5551**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF25C5A01**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF26CG7400**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF27CG5010**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF27CG5100**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF27CG5400**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF27CG5900**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF27CG5B10**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF27CG5B30**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF27T5201**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF27T5241**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF27T5501**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF28R6201**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28R6202**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28R6221**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28R6222**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28R6241**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28R6301**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28R7201**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28R7351**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - includes proven reference model RF28R7351SR,none,PASS_CANDIDATE,Proven BuckParts Page Factory reference target
RF28R7551**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28T5001**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF28T5021**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF28T5101**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF28T5F01**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF29A9071**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF29A9671**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF29A9675**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF29A9771**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF29BB8200**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF29BB8600**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF29BB8900**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF29DB9600**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF29DB9700**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF29DB9750**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF29DB9900**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF30BB6200**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF30BB6600**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF30BB6602**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF30BB6900**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF31CG5100**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF31CG7200**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF31CG7400**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF32CG5300**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF32CG5400**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF32CG5900**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF32CG5B10**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF32CG5B30**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF32CG5D00**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF70F23*E*,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF70F29*E*,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF70H25*E*,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF70H30*E*,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF80H25*E*,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF80H30*E*,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF90F23AE**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF90F23BE**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF90F23EE**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF90F29AE**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF90F29BE**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RF90F29EE**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RM70F22N**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RM80F22W**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RM80F23V**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
RS22T5201**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS22T5561**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RS23A500A**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
