filter_slug,retailer_name,affiliate_url,is_primary,retailer_key,retailer_slug,destination_url
pentek-rfccw-bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=RFCCW-BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=RFCCW-BB
pentek-rffe10-bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=RFFE10-BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=RFFE10-BB
pentek-to-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=TO-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=TO-10BB
pentek-pcc-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=PCC-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=PCC-10BB
pentek-fcb-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=FCB-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=FCB-10BB
pentek-cfb-plus10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=CFB-PLUS10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=CFB-PLUS10BB
pentek-wp1bb97p,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=WP1BB97P,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=WP1BB97P
pentek-wp25bb97p,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=WP25BB97P,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=WP25BB97P
pentek-dgd-5001,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=DGD-5001,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=DGD-5001
pentek-swc-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=SWC-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=SWC-10BB
pentek-ecp1-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=ECP1-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=ECP1-10BB
pentek-ecp5-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=ECP5-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=ECP5-10BB
pentek-r30-bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=R30-BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=R30-BB
pentek-dgd-7525,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=DGD-7525,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=DGD-7525
pentek-ecp20-bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=ECP20-BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=ECP20-BB
pentek-wp25bb20p,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=WP25BB20P,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=WP25BB20P
pentek-rfc-20bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=RFC-20BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=RFC-20BB
pentek-ep-20bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=EP-20BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=EP-20BB
pentek-gac-20bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=GAC-20BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=GAC-20BB
pentek-cc-20bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=CC-20BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=CC-20BB
pentek-epm-20bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=EPM-20BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=EPM-20BB
pentek-to-20bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=TO-20BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=TO-20BB
pentek-pcc-20bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=PCC-20BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=PCC-20BB
pentek-rffe20-bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=RFFE20-BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=RFFE20-BB
pentek-r30-20bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=R30-20BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=R30-20BB
pentek-p1-slim,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=P1,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=P1
pentek-p5-slim,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=P5,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=P5
pentek-p25-slim,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=P25,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=P25
pentek-ep-10-slim,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=EP-10,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=EP-10
pentek-gac-10-slim,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=GAC-10,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=GAC-10
pentek-rfc-10-slim,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=RFC-10,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=RFC-10
ge-fxhtc,OEM / manufacturer catalog (keyword lookup),https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXHTC,true,oem-catalog,oem-catalog,https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXHTC
ge-fxwpc,OEM / manufacturer catalog (keyword lookup),https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXWPC,true,oem-catalog,oem-catalog,https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXWPC
ge-fxhsc,OEM / manufacturer catalog (keyword lookup),https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXHSC,true,oem-catalog,oem-catalog,https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXHSC
ge-fxusc,OEM / manufacturer catalog (keyword lookup),https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXUSC,true,oem-catalog,oem-catalog,https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXUSC
ge-fxwtc,OEM / manufacturer catalog (keyword lookup),https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXWTC,true,oem-catalog,oem-catalog,https://www.geapplianceparts.com/store/catalog/search.jsp?searchKeyword=FXWTC
3m-ap810,OEM / manufacturer catalog (keyword lookup),https://www.3m.com/3M/en_US/water-filtration-us/search/?Ntt=AP810,true,oem-catalog,oem-catalog,https://www.3m.com/3M/en_US/water-filtration-us/search/?Ntt=AP810
3m-ap811,OEM / manufacturer catalog (keyword lookup),https://www.3m.com/3M/en_US/water-filtration-us/search/?Ntt=AP811,true,oem-catalog,oem-catalog,https://www.3m.com/3M/en_US/water-filtration-us/search/?Ntt=AP811
culligan-cw5-bb,OEM / manufacturer catalog (keyword lookup),https://www.culligan.com/search?q=CW5-BB,true,oem-catalog,oem-catalog,https://www.culligan.com/search?q=CW5-BB
culligan-rfc-bbsa,OEM / manufacturer catalog (keyword lookup),https://www.culligan.com/search?q=RFC-BBSA,true,oem-catalog,oem-catalog,https://www.culligan.com/search?q=RFC-BBSA
culligan-cw25-bb,OEM / manufacturer catalog (keyword lookup),https://www.culligan.com/search?q=CW25-BB,true,oem-catalog,oem-catalog,https://www.culligan.com/search?q=CW25-BB
whirlpool-whkf-gd05,OEM / manufacturer catalog (keyword lookup),https://www.whirlpoolparts.com/catalog.jsp?search=stw=&path=&searchKeyword=WHKF-GD05,true,oem-catalog,oem-catalog,https://www.whirlpoolparts.com/catalog.jsp?search=stw=&path=&searchKeyword=WHKF-GD05
whirlpool-whkf-whpl,OEM / manufacturer catalog (keyword lookup),https://www.whirlpoolparts.com/catalog.jsp?search=stw=&path=&searchKeyword=WHKF-WHPL,true,oem-catalog,oem-catalog,https://www.whirlpoolparts.com/catalog.jsp?search=stw=&path=&searchKeyword=WHKF-WHPL
whirlpool-whkf-gac,OEM / manufacturer catalog (keyword lookup),https://www.whirlpoolparts.com/catalog.jsp?search=stw=&path=&searchKeyword=WHKF-GAC,true,oem-catalog,oem-catalog,https://www.whirlpoolparts.com/catalog.jsp?search=stw=&path=&searchKeyword=WHKF-GAC
whirlpool-whkf-gd25,OEM / manufacturer catalog (keyword lookup),https://www.whirlpoolparts.com/catalog.jsp?search=stw=&path=&searchKeyword=WHKF-GD25,true,oem-catalog,oem-catalog,https://www.whirlpoolparts.com/catalog.jsp?search=stw=&path=&searchKeyword=WHKF-GD25
watts-w50pehd,OEM / manufacturer catalog (keyword lookup),https://www.watts.com/search?q=W50PEHD,true,oem-catalog,oem-catalog,https://www.watts.com/search?q=W50PEHD
watts-w20ffphd,OEM / manufacturer catalog (keyword lookup),https://www.watts.com/search?q=W20FFPHD,true,oem-catalog,oem-catalog,https://www.watts.com/search?q=W20FFPHD
springwell-cf1-sediment,OEM / manufacturer catalog (keyword lookup),https://www.springwellwater.com/search?q=SW-CF1-SED,true,oem-catalog,oem-catalog,https://www.springwellwater.com/search?q=SW-CF1-SED
aquasana-eq600-replacement,OEM / manufacturer catalog (keyword lookup),https://www.aquasana.com/catalogsearch/result/?q=EQ-600R,true,oem-catalog,oem-catalog,https://www.aquasana.com/catalogsearch/result/?q=EQ-600R
3m-ap917hd-s,OEM / manufacturer catalog (keyword lookup),https://www.3m.com/3M/en_US/water-filtration-us/search/?Ntt=AP917HD-S,true,oem-catalog,oem-catalog,https://www.3m.com/3M/en_US/water-filtration-us/search/?Ntt=AP917HD-S
3m-ap910r,OEM / manufacturer catalog (keyword lookup),https://www.3m.com/3M/en_US/water-filtration-us/search/?Ntt=AP910R,true,oem-catalog,oem-catalog,https://www.3m.com/3M/en_US/water-filtration-us/search/?Ntt=AP910R
kinetico-reference-system,Kinetico official (dealer network — not direct checkout),https://www.kinetico.com/en-us/for-home/water-filtration/,true,oem-catalog,oem-catalog,https://www.kinetico.com/en-us/for-home/water-filtration/
