model_slug,filter_slug,is_recommended
pentek-bb10-housing-158368,pentek-epm-10bb,false
pentek-bb10-housing-158368,pentek-rfccw-bb,false
pentek-bb10-housing-158368,pentek-rffe10-bb,false
pentek-bb10-housing-158368,pentek-to-10bb,false
pentek-bb10-housing-158368,pentek-pcc-10bb,false
pentek-bb10-housing-158368,pentek-fcb-10bb,false
pentek-bb10-housing-158368,pentek-cfb-plus10bb,false
pentek-bb10-housing-158368,pentek-wp1bb97p,false
pentek-bb10-housing-158368,pentek-wp25bb97p,false
pentek-bb10-housing-158368,pentek-dgd-5001,false
pentek-bb10-housing-158368,pentek-swc-10bb,false
pentek-bb10-housing-158368,pentek-ecp1-10bb,false
pentek-bb10-housing-158368,pentek-ecp5-10bb,false
pentek-bb10-housing-158368,pentek-r30-bb,false
pentek-bb20-housing-158257,pentek-dgd-7525,true
pentek-bb20-housing-158257,pentek-ecp20-bb,false
pentek-bb20-housing-158257,pentek-wp25bb20p,false
pentek-bb20-housing-158257,pentek-rfc-20bb,false
pentek-bb20-housing-158257,pentek-ep-20bb,false
pentek-bb20-housing-158257,pentek-gac-20bb,false
pentek-bb20-housing-158257,pentek-cc-20bb,false
pentek-bb20-housing-158257,pentek-epm-20bb,false
pentek-bb20-housing-158257,pentek-to-20bb,false
pentek-bb20-housing-158257,pentek-pcc-20bb,false
pentek-bb20-housing-158257,pentek-rffe20-bb,false
pentek-bb20-housing-158257,pentek-r30-20bb,false
pentek-bb20-housing-158257,culligan-cw25-bb,false
pentek-bb20-housing-158257,watts-w20ffphd,false
pentek-bb20-housing-158129,pentek-dgd-7525,true
pentek-bb20-housing-158129,pentek-ecp20-bb,false
pentek-bb20-housing-158129,pentek-wp25bb20p,false
pentek-bb20-housing-158129,pentek-rfc-20bb,false
pentek-bb20-housing-158129,pentek-ep-20bb,false
pentek-bb20-housing-158129,pentek-gac-20bb,false
pentek-bb20-housing-158129,pentek-cc-20bb,false
pentek-bb20-housing-158129,pentek-epm-20bb,false
pentek-bb20-housing-158129,pentek-to-20bb,false
pentek-bb20-housing-158129,pentek-pcc-20bb,false
pentek-bb20-housing-158129,pentek-rffe20-bb,false
pentek-bb20-housing-158129,pentek-r30-20bb,false
pentek-bb20-housing-158129,culligan-cw25-bb,false
pentek-bb20-housing-158129,watts-w20ffphd,false
pentek-slim-housing-158115,pentek-p1-slim,false
pentek-slim-housing-158115,pentek-p5-slim,true
pentek-slim-housing-158115,pentek-p25-slim,false
pentek-slim-housing-158115,pentek-ep-10-slim,false
pentek-slim-housing-158115,pentek-gac-10-slim,false
pentek-slim-housing-158115,pentek-rfc-10-slim,false
ge-whole-house-gxwh20s,ge-fxhtc,true
ge-whole-house-gxwh20s,ge-fxwpc,true
ge-whole-house-gxwh20s,ge-fxhsc,false
ge-whole-house-gxwh20s,ge-fxusc,false
ge-whole-house-gxwh20s,ge-fxwtc,false
ge-whole-house-gxwh40f,ge-fxhtc,true
ge-whole-house-gxwh40f,ge-fxwpc,true
ge-whole-house-gxwh40f,ge-fxhsc,false
ge-whole-house-gxwh40f,ge-fxusc,false
ge-whole-house-gxwh40f,ge-fxwtc,false
ge-whole-house-gxwh35f,ge-fxhtc,true
ge-whole-house-gxwh35f,ge-fxwpc,true
ge-whole-house-gxwh35f,ge-fxhsc,false
ge-whole-house-gxwh35f,ge-fxusc,false
ge-whole-house-gxwh35f,ge-fxwtc,false
ge-whole-house-gxwh30c,ge-fxhtc,true
ge-whole-house-gxwh30c,ge-fxwpc,true
ge-whole-house-gxwh30c,ge-fxhsc,false
ge-whole-house-gxwh30c,ge-fxusc,false
ge-whole-house-gxwh30c,ge-fxwtc,false
3m-aquapure-ap801,3m-ap810,true
3m-aquapure-ap802,3m-ap810,true
3m-aquapure-ap802,3m-ap811,true
whirlpool-whkf-dwhbb,whirlpool-whkf-gd05,true
whirlpool-whkf-dwhbb,whirlpool-whkf-whpl,false
whirlpool-whkf-dwhbb,whirlpool-whkf-gac,false
whirlpool-whkf-dwhbb,whirlpool-whkf-gd25,false
culligan-housing-wh-hd-950-c,culligan-cw5-bb,true
culligan-housing-wh-hd-950-c,pentek-dgd-5005,false
culligan-housing-wh-hd-950-c,pentek-wp10bb97p,false
culligan-housing-wh-hd-950-c,pentek-ep-10bb,false
culligan-housing-wh-hd-950-c,culligan-rfc-bbsa,false
culligan-housing-wh-hd-950-c,pentek-gac-10bb,false
watts-w50whd-housing,pentek-dgd-5005,false
watts-w50whd-housing,pentek-wp10bb97p,false
watts-w50whd-housing,pentek-ep-10bb,false
watts-w50whd-housing,pentek-s1-bb,false
watts-w50whd-housing,pentek-r50-bb,false
watts-w50whd-housing,pentek-p5-bb,false
watts-w50whd-housing,pentek-cbc-10bb,false
watts-w50whd-housing,pentek-gac-10bb,false
watts-w50whd-housing,pentek-cc-10bb,false
watts-w50whd-housing,pentek-epm-10bb,false
watts-w50whd-housing,pentek-rfccw-bb,false
watts-w50whd-housing,pentek-rffe10-bb,false
watts-w50whd-housing,pentek-to-10bb,false
watts-w50whd-housing,pentek-pcc-10bb,false
watts-w50whd-housing,pentek-fcb-10bb,false
watts-w50whd-housing,pentek-cfb-plus10bb,false
watts-w50whd-housing,pentek-wp1bb97p,false
watts-w50whd-housing,pentek-wp25bb97p,false
watts-w50whd-housing,pentek-dgd-5001,false
watts-w50whd-housing,pentek-swc-10bb,false
watts-w50whd-housing,pentek-ecp1-10bb,false
watts-w50whd-housing,pentek-ecp5-10bb,false
watts-w50whd-housing,pentek-r30-bb,false
watts-w50whd-housing,watts-w50pehd,true
